            f           x1           x2           g1           g2            i
     5.000000     1.000000     1.000000    -2.000000    -8.000000            1
     0.553846     0.738462    -0.046154    -1.476923     0.369231            2
     0.000000    -0.000000     0.000000     0.000000    -0.000000            3
